rep,seqtype,line,period,spec
rep1,rna,Ara-5,2.938775510204082,119369.2862763403
rep1,rna,Ara-5,2.880000000000001,62841.98210682074
rep1,rna,Ara-5,2.823529411764706,51347.13245876912
rep1,rna,Ara-5,2.7692307692307696,7550.3865131933135
rep1,rna,Ara-5,2.716981132075472,32572.013998647268
rep1,rna,Ara-5,2.666666666666667,21039.24758520911
rep1,rna,Ara-5,2.618181818181818,63206.90409961838
rep1,rna,Ara-5,2.5714285714285716,2023.450706399896
rep1,rna,Ara-5,2.5263157894736845,26262.890289461066
rep1,rna,Ara-5,2.4827586206896552,12333.16907566402
rep1,rna,Ara-5,2.4406779661016955,91932.41866231155
rep1,rna,Ara-5,2.4000000000000004,20061.880172332083
rep1,rna,Ara-5,2.3606557377049184,16255.176427876288
rep1,rna,Ara-5,2.3225806451612905,18378.075799561502
rep1,rna,Ara-5,2.285714285714286,13016.607517319415
rep1,rna,Ara-5,2.25,112419.3195037385
rep1,rna,Ara-5,2.2153846153846155,114174.5239108342
rep1,rna,Ara-5,2.181818181818182,12199.166659170296
rep1,rna,Ara-5,2.1492537313432836,21926.178685813164
rep1,rna,Ara-5,2.11764705882353,1640.4922476860731
rep1,rna,Ara-5,2.0869565217391304,13402.393847134463
rep1,rna,Ara-5,2.0571428571428574,14538.312187083206
rep1,rna,Ara-5,2.028169014084507,10195.582338525195
rep1,rna,Ara-5,2.0000000000000004,3286.0249151544026
rep1,rna,Ara-6,4,49312.88814276327
rep1,rna,Ara-6,3.891891891891892,20461.10148028484
rep1,rna,Ara-6,3.789473684210527,38680.85288711222
rep1,rna,Ara-6,3.6923076923076925,62763.98542892753
rep1,rna,Ara-6,3.6000000000000005,84201.30704210735
rep1,rna,Ara-6,3.5121951219512195,36016.82466626179
rep1,rna,Ara-6,3.428571428571429,87907.87102768991
rep1,rna,Ara-6,3.348837209302326,13841.329421552151
rep1,rna,Ara-6,3.272727272727273,69172.63447556278
rep1,rna,Ara-6,3.2000000000000006,71179.43304932541
rep1,rna,Ara-6,3.130434782608696,7540.379919045797
rep1,rna,Ara-6,3.063829787234043,199583.36047309678
rep1,rna,Ara-6,3,2292081.8385447054
rep1,rna,Ara-6,2.938775510204082,83164.77293583851
rep1,rna,Ara-6,2.880000000000001,87392.52569228025
rep1,rna,Ara-6,2.823529411764706,36863.45413492002
rep1,rna,Ara-6,2.7692307692307696,18999.505799260915
rep1,rna,Ara-6,2.716981132075472,110505.3250637548
rep1,rna,Ara-6,2.666666666666667,41137.60008123376
rep1,rna,Ara-6,2.618181818181818,97490.32324282102
rep1,rna,Ara-6,2.5714285714285716,11116.872187024526
rep1,rna,Ara-6,2.5263157894736845,6544.0942857552045
rep1,rna,Ara-6,2.4827586206896552,28594.364198035142
rep1,rna,Ara-6,2.4406779661016955,61152.10765934664
rep1,rna,Ara-6,2.4000000000000004,6671.846990647442
rep1,rna,Ara-6,2.3606557377049184,79940.76482287838
rep1,rna,Ara-6,2.3225806451612905,11662.230573546209
rep1,rna,Ara-6,2.285714285714286,49156.0435642274
rep1,rna,Ara-6,2.25,89519.26318224857
rep1,rna,Ara-6,2.2153846153846155,139224.86166451426
rep1,rna,Ara-6,2.181818181818182,20589.835025796667
rep1,rna,Ara-6,2.1492537313432836,16457.032610010116
rep1,rna,Ara-6,2.11764705882353,15859.503264182475
rep1,rna,Ara-6,2.0869565217391304,11280.542690218857
rep1,rna,Ara-6,2.0571428571428574,564.9356121611711
rep1,rna,Ara-6,2.028169014084507,12790.161125368953
rep1,rna,Ara-6,2.0000000000000004,52121.431522194696
rep1,rna,Ara+1,4,63039.33919696657
rep1,rna,Ara+1,3.891891891891892,24023.590264397957
rep1,rna,Ara+1,3.789473684210527,23114.497353030867
rep1,rna,Ara+1,3.6923076923076925,62897.643589214524
rep1,rna,Ara+1,3.6000000000000005,63555.976728225316
rep1,rna,Ara+1,3.5121951219512195,57013.614290167905
rep1,rna,Ara+1,3.428571428571429,76237.48161900835
rep1,rna,Ara+1,3.348837209302326,17426.512292448762
rep1,rna,Ara+1,3.272727272727273,46849.040065789224
rep1,rna,Ara+1,3.2000000000000006,125760.7024772292
rep1,rna,Ara+1,3.130434782608696,53410.04663746175
rep1,rna,Ara+1,3.063829787234043,73256.74245398615
rep1,rna,Ara+1,3,2203627.6960657174
rep1,rna,Ara+1,2.938775510204082,80790.8028397106
rep1,rna,Ara+1,2.880000000000001,39769.864369718714
rep1,rna,Ara+1,2.823529411764706,92833.38511413732
rep1,rna,Ara+1,2.7692307692307696,28119.64727975434
rep1,rna,Ara+1,2.716981132075472,4650.71138557328
rep1,rna,Ara+1,2.666666666666667,63149.29117909994
rep1,rna,Ara+1,2.618181818181818,34035.3548177656
rep1,rna,Ara+1,2.5714285714285716,24485.607857886764
rep1,rna,Ara+1,2.5263157894736845,56380.957697771395
rep1,rna,Ara+1,2.4827586206896552,1475.9094212660295
rep1,rna,Ara+1,2.4406779661016955,95390.73047437689
rep1,rna,Ara+1,2.4000000000000004,2105.39618116034
rep1,rna,Ara+1,2.3606557377049184,31606.88281031521
rep1,rna,Ara+1,2.3225806451612905,25104.811871522495
rep1,rna,Ara+1,2.285714285714286,9345.432450207312
rep1,rna,Ara+1,2.25,25615.91179077776
rep1,rna,Ara+1,2.2153846153846155,27637.05318495172
rep1,rna,Ara+1,2.181818181818182,5621.74760525867
rep1,rna,Ara+1,2.1492537313432836,14349.215498821066
rep1,rna,Ara+1,2.11764705882353,33533.69822446836
rep1,rna,Ara+1,2.0869565217391304,11911.451376619561
rep1,rna,Ara+1,2.0571428571428574,5493.750342673612
rep1,rna,Ara+1,2.028169014084507,46507.22341256432
rep1,rna,Ara+1,2.0000000000000004,1313.594029515643
rep1,rna,Ara+2,4,4841.609480789256
rep1,rna,Ara+2,3.891891891891892,31609.17399091166
rep1,rna,Ara+2,3.789473684210527,96222.92890591582
rep1,rna,Ara+2,3.6923076923076925,73797.89000850554
rep1,rna,Ara+2,3.6000000000000005,33.08669178217461
rep1,rna,Ara+2,3.5121951219512195,64041.95406175345
rep1,rna,Ara+2,3.428571428571429,227240.72104608547
rep1,rna,Ara+2,3.348837209302326,6881.632856876437
rep1,rna,Ara+2,3.272727272727273,54427.56244355332
rep1,rna,Ara+2,3.2000000000000006,101686.422850347
rep1,rna,Ara+2,3.130434782608696,183942.2984273069
rep1,rna,Ara+2,3.063829787234043,232416.42242166534
rep1,rna,Ara+2,3,3866057.3159544994
rep1,rna,Ara+2,2.938775510204082,19627.386009596758
rep1,rna,Ara+2,2.880000000000001,221679.56181603335
rep1,rna,Ara+2,2.823529411764706,63813.29715229884
rep1,rna,Ara+2,2.7692307692307696,6575.085141993263
rep1,rna,Ara+2,2.716981132075472,60516.862932032316
rep1,rna,Ara+2,2.666666666666667,43174.90887791778
rep1,rna,Ara+2,2.618181818181818,150789.80685251535
rep1,rna,Ara+2,2.5714285714285716,29827.02828007739
rep1,rna,Ara+2,2.5263157894736845,13361.695221287355
rep1,rna,Ara+2,2.4827586206896552,30674.18990751262
rep1,rna,Ara+2,2.4406779661016955,197968.68342859083
rep1,rna,Ara+2,2.4000000000000004,5028.526150648003
rep1,rna,Ara+2,2.3606557377049184,79278.1456979809
rep1,rna,Ara+2,2.3225806451612905,7719.28059522253
rep1,rna,Ara+2,2.285714285714286,10731.575923761713
rep1,rna,Ara+2,2.25,102229.12422498611
rep1,rna,Ara+2,2.2153846153846155,229694.8312532969
rep1,rna,Ara+2,2.181818181818182,53033.10223594075
rep1,rna,Ara+2,2.1492537313432836,3474.744309043094
rep1,rna,Ara+2,2.11764705882353,46044.75560596826
rep1,rna,Ara+2,2.0869565217391304,46788.41151441828
rep1,rna,Ara+2,2.0571428571428574,53527.74449773874
rep1,rna,Ara+2,2.028169014084507,34737.08071543948
rep1,rna,Ara+2,2.0000000000000004,1029.8534544953923
rep1,rna,Ara+3,4,6710.3112204088475
rep1,rna,Ara+3,3.891891891891892,22130.37377279534
rep1,rna,Ara+3,3.789473684210527,41630.33906349127
rep1,rna,Ara+3,3.6923076923076925,40675.76273818739
rep1,rna,Ara+3,3.6000000000000005,96069.01314966053
rep1,rna,Ara+3,3.5121951219512195,16542.48169014024
rep1,rna,Ara+3,3.428571428571429,14641.87819556895
rep1,rna,Ara+3,3.348837209302326,24840.112461348595
rep1,rna,Ara+3,3.272727272727273,64480.858147907784
rep1,rna,Ara+3,3.2000000000000006,71775.66736661863
rep1,rna,Ara+3,3.130434782608696,28895.48668281495
rep1,rna,Ara+3,3.063829787234043,22285.176296352343
rep1,rna,Ara+3,3,960017.7987566271
rep1,rna,Ara+3,2.938775510204082,32768.31040915918
rep1,rna,Ara+3,2.880000000000001,43319.6426226984
rep1,rna,Ara+3,2.823529411764706,52269.28231121117
rep1,rna,Ara+3,2.7692307692307696,1831.6790938744464
rep1,rna,Ara+3,2.716981132075472,26220.373455882167
rep1,rna,Ara+3,2.666666666666667,15627.62772259901
rep1,rna,Ara+3,2.618181818181818,51169.02068470502
rep1,rna,Ara+3,2.5714285714285716,37794.84540571451
rep1,rna,Ara+3,2.5263157894736845,15950.583177584094
rep1,rna,Ara+3,2.4827586206896552,6951.14613876249
rep1,rna,Ara+3,2.4406779661016955,33662.194235034534
rep1,rna,Ara+3,2.4000000000000004,6156.180072570724
rep1,rna,Ara+3,2.3606557377049184,50750.26507947854
rep1,rna,Ara+3,2.3225806451612905,6076.277155260436
rep1,rna,Ara+3,2.285714285714286,16328.578620738777
rep1,rna,Ara+3,2.25,43226.79223961073
rep1,rna,Ara+3,2.2153846153846155,7674.322393381096
rep1,rna,Ara+3,2.181818181818182,3830.4241273921425
rep1,rna,Ara+3,2.1492537313432836,6683.350315644931
rep1,rna,Ara+3,2.11764705882353,23088.07573122734
rep1,rna,Ara+3,2.0869565217391304,6790.643302615839
rep1,rna,Ara+3,2.0571428571428574,22056.46656029904
rep1,rna,Ara+3,2.028169014084507,27736.143983784656
rep1,rna,Ara+3,2.0000000000000004,196.2048176975625
rep1,rna,Ara+4,4,4304.195900151123
rep1,rna,Ara+4,3.891891891891892,18416.562776344734
rep1,rna,Ara+4,3.789473684210527,111668.88640092869
rep1,rna,Ara+4,3.6923076923076925,114559.07154451
rep1,rna,Ara+4,3.6000000000000005,206012.42539137747
rep1,rna,Ara+4,3.5121951219512195,30895.704241530853
rep1,rna,Ara+4,3.428571428571429,166833.20094075712
rep1,rna,Ara+4,3.348837209302326,13403.760437266932
rep1,rna,Ara+4,3.272727272727273,96014.48653847081
