line,target_id,n
AraM1,ECB_00560,1
AraM1,ECB_00561,1
AraM1,ECB_00562,1
AraM1,ECB_00563,1
AraM1,ECB_00564,1
AraM1,ECB_00566,1
AraM1,ECB_00567,1
AraM1,ECB_00568,1
AraM1,ECB_00569,1
AraM1,ECB_00570,1
AraM1,ECB_00571,1
AraM1,ECB_00572,1
AraM1,ECB_00573,1
AraM1,ECB_00574,1
AraM1,ECB_00575,1
AraM1,ECB_00576,1
AraM1,ECB_00577,1
AraM1,ECB_00578,1
AraM1,ECB_00579,1
AraM1,ECB_00580,1
AraM1,ECB_00581,1
AraM1,ECB_00582,1
AraM1,ECB_00583,1
AraM1,ECB_00584,1
AraM1,ECB_00585,1
AraM1,ECB_00586,1
AraM1,ECB_00587,1
AraM1,ECB_00588,1
AraM1,ECB_00589,1
AraM1,ECB_00590,1
AraM1,ECB_00591,1
AraM1,ECB_00592,1
AraM1,ECB_00593,1
AraM1,ECB_00594,1
AraM1,ECB_00595,1
AraM1,ECB_00596,1
AraM1,ECB_00597,1
AraM1,ECB_00598,1
AraM1,ECB_00599,1
AraM1,ECB_00600,1
AraM1,ECB_00601,1
AraM1,ECB_00602,1
AraM1,ECB_00603,1
AraM1,ECB_00604,1
AraM1,ECB_00605,1
AraM1,ECB_00606,1
AraM1,ECB_00607,1
AraM1,ECB_00608,1
AraM1,ECB_00609,1
AraM1,ECB_00610,1
AraM1,ECB_00611,1
AraM1,ECB_00612,1
AraM1,ECB_00614,1
AraM1,ECB_00615,1
AraM1,ECB_00616,1
AraM1,ECB_00617,1
AraM1,ECB_00619,8
AraM1,ECB_00620,8
AraM1,ECB_00621,1
AraM1,ECB_00622,1
AraM1,ECB_00623,1
AraM1,ECB_00624,1
AraM1,ECB_00625,1
AraM1,ECB_00626,1
AraM1,ECB_00627,1
AraM1,ECB_00628,1
AraM1,ECB_00629,1
AraM1,ECB_00630,1
AraM1,ECB_00631,1
AraM1,ECB_00632,1
AraM1,ECB_00633,1
AraM1,ECB_00634,1
AraM1,ECB_00635,1
AraM1,ECB_00636,1
