line,target_id
Ara-4,ECB_01946
Ara-4,ECB_01947
Ara-4,ECB_01948
Ara-4,ECB_01949
Ara-4,ECB_01950
Ara-4,ECB_01951
Ara-4,ECB_01952
Ara-4,ECB_01953
Ara-4,ECB_01954
Ara-4,ECB_01992
Ara-4,ECB_02003
Ara-4,ECB_02017
Ara-4,ECB_02018
Ara-4,ECB_02019
Ara-4,ECB_02020
Ara-4,ECB_02022
Ara-4,ECB_02023
Ara-4,ECB_02024
Ara-4,ECB_02025
Ara-4,ECB_02026
Ara-4,ECB_02027
Ara-4,ECB_02028
Ara-4,ECB_02029
Ara-4,ECB_02030
Ara-4,ECB_02031
Ara-4,ECB_02032
Ara-4,ECB_02033
Ara-4,ECB_02034
Ara-4,ECB_02035
Ara-4,ECB_02036
Ara-4,ECB_02037
Ara-4,ECB_02038
Ara-4,ECB_02039
Ara-4,ECB_02074
Ara-4,ECB_02090
Ara-4,ECB_02119
Ara-4,ECB_02128
Ara-4,ECB_02140
Ara-4,ECB_02153
Ara-4,ECB_02154
Ara-4,ECB_02159
Ara-4,ECB_02191
Ara-4,ECB_02260
Ara-4,ECB_02280
Ara-4,ECB_02299
Ara-4,ECB_02541
Ara-4,ECB_02553
Ara-4,ECB_02611
Ara-4,ECB_02620
Ara-4,ECB_02634
Ara-4,ECB_02798
Ara-4,ECB_02800
Ara-4,ECB_02821
Ara-4,ECB_02825
Ara-4,ECB_02826
Ara-4,ECB_02827
Ara-4,ECB_02828
Ara-4,ECB_02829
Ara-4,ECB_02831
Ara-4,ECB_02832
Ara-4,ECB_02833
Ara-4,ECB_02834
Ara-4,ECB_02835
Ara-4,ECB_02836
Ara-4,ECB_02837
Ara-4,ECB_02838
Ara-4,ECB_02839
Ara-4,ECB_02840
Ara-4,ECB_02841
Ara-4,ECB_02842
Ara-4,ECB_02843
Ara-4,ECB_02844
Ara-4,ECB_02845
Ara-4,ECB_02846
Ara-4,ECB_02847
Ara-4,ECB_02848
Ara-4,ECB_02849
Ara-4,ECB_02850
Ara-4,ECB_02851
Ara-4,ECB_02852
Ara-4,ECB_02853
Ara-4,ECB_02854
Ara-4,ECB_02855
Ara-4,ECB_02856
Ara-4,ECB_02863
Ara-4,ECB_02882
Ara-4,ECB_02886
Ara-4,ECB_02962
Ara-4,ECB_02974
Ara-4,ECB_03028
Ara-4,ECB_03074
Ara-4,ECB_03119
Ara-4,ECB_03235
Ara-4,ECB_03259
Ara-4,ECB_03412
Ara-4,ECB_03448
Ara-4,ECB_03459
Ara-4,ECB_03460
Ara-4,ECB_03511
Ara-4,ECB_03548
Ara-4,ECB_03634
Ara-4,ECB_03635
Ara-4,ECB_03636
Ara-4,ECB_03637
Ara-4,ECB_03638
Ara-4,ECB_03639
Ara-4,ECB_03640
Ara-4,ECB_03674
Ara-4,ECB_03764
Ara-4,ECB_03786
Ara-4,ECB_03895
Ara-4,ECB_03946
Ara-4,ECB_03969
Ara-4,ECB_03981
Ara-4,ECB_03982
Ara-4,ECB_04004
Ara-4,ECB_04008
Ara-4,ECB_04022
Ara-4,ECB_04037
Ara-4,ECB_04098
Ara-4,ECB_04114
Ara-4,ECB_04118
Ara-4,ECB_04129
Ara-4,ECB_04182
Ara-4,ECB_04183
Ara-4,ECB_04184
Ara-4,ECB_04185
Ara-4,ECB_04186
Ara-4,ECB_04187
Ara-4,ECB_04188
Ara-4,ECB_04189
Ara-4,ECB_04190
Ara-4,ECB_04191
Ara-4,ECB_04192
Ara-4,ECB_04193
Ara-4,ECB_04194
Ara-5,ECB_00271
Ara-5,ECB_00429
Ara-5,ECB_00506
Ara-5,ECB_00507
Ara-5,ECB_00508
Ara-5,ECB_00509
Ara-5,ECB_00510
Ara-5,ECB_00511
Ara-5,ECB_00512
Ara-5,ECB_00513
Ara-5,ECB_00595
Ara-5,ECB_00774
Ara-5,ECB_00879
Ara-5,ECB_01022
Ara-5,ECB_01223
Ara-5,ECB_01510
Ara-5,ECB_01511
Ara-5,ECB_01512
Ara-5,ECB_01513
Ara-5,ECB_01514
Ara-5,ECB_01515
Ara-5,ECB_01516
Ara-5,ECB_01517
Ara-5,ECB_01518
Ara-5,ECB_01519
Ara-5,ECB_01520
Ara-5,ECB_01521
Ara-5,ECB_01522
Ara-5,ECB_01523
Ara-5,ECB_01610
Ara-5,ECB_01666
Ara-5,ECB_01713
Ara-5,ECB_01770
Ara-5,ECB_01920
Ara-5,ECB_01932
Ara-5,ECB_01933
Ara-5,ECB_01934
Ara-5,ECB_01935
Ara-5,ECB_01936
Ara-5,ECB_01937
Ara-5,ECB_01938
Ara-5,ECB_01939
Ara-5,ECB_01940
Ara-5,ECB_01941
Ara-5,ECB_01942
Ara-5,ECB_01943
Ara-5,ECB_01944
Ara-5,ECB_01945
Ara-5,ECB_01946
Ara-5,ECB_01947
Ara-5,ECB_01948
Ara-5,ECB_01949
Ara-5,ECB_01950
Ara-5,ECB_01951
Ara-5,ECB_01952
Ara-5,ECB_01953
Ara-5,ECB_01954
Ara-5,ECB_01987
Ara-5,ECB_01988
Ara-5,ECB_01989
Ara-5,ECB_01990
Ara-5,ECB_01991
Ara-5,ECB_01992
Ara-5,ECB_01993
Ara-5,ECB_01994
Ara-5,ECB_01995
Ara-5,ECB_01996
Ara-5,ECB_01997
Ara-5,ECB_01998
Ara-5,ECB_01999
Ara-5,ECB_02000
Ara-5,ECB_02001
Ara-5,ECB_02002
Ara-5,ECB_02003
Ara-5,ECB_02004
Ara-5,ECB_02005
Ara-5,ECB_02006
Ara-5,ECB_02007
Ara-5,ECB_02008
Ara-5,ECB_02009
Ara-5,ECB_02010
Ara-5,ECB_02011
Ara-5,ECB_02012
Ara-5,ECB_02013
Ara-5,ECB_02253
Ara-5,ECB_02373
Ara-5,ECB_02581
Ara-5,ECB_02690
Ara-5,ECB_02837
Ara-5,ECB_03501
Ara-5,ECB_03634
Ara-5,ECB_03635
Ara-5,ECB_03636
Ara-5,ECB_03637
Ara-5,ECB_03638
Ara-5,ECB_03639
Ara-5,ECB_03930
Ara-5,ECB_04214
Ara-6,ECB_00127
Ara-6,ECB_00506
Ara-6,ECB_00507
Ara-6,ECB_00508
Ara-6,ECB_00509
Ara-6,ECB_00510
Ara-6,ECB_00511
Ara-6,ECB_00512
Ara-6,ECB_00513
